"","x"
"1","Acer pseudoplatanus"
"2","Agrostis canina sens.lat."
"3","Ajuga reptans"
"4","Athyrium filix-femina"
"5","Dryopteris filix-mas"
"6","Carex remota"
"7","Carex sylvatica"
"8","Circaea lutetiana"
"9","Corylus avellana"
"10","Crataegus monogyna"
"11","Deschampsia cespitosa"
"12","Digitalis purpurea"
"13","Hyacinthoides non-scripta"
"14","Fraxinus excelsior (c)"
"15","Lamiastrum galeobdolon"
"16","Galeopsis tetrahit agg."
"17","Galium aparine"
"18","Geum urbanum"
"19","Glechoma hederacea"
"20","Holcus lanatus"
"21","Cardamine hirsuta/flexuosa"
"22","Juncus effusus"
"23","Lonicera periclymenum"
"24","Lysimachia nemorum"
"25","Silene dioica"
"26","Mercurialis perennis"
"27","Myosotis arvensis"
"28","Poa nemoralis/trivialis"
"29","Populus tremula"
"30","Prunella vulgaris"
"31","Rubus fruticosus agg."
"32","Rumex sanguineus"
"33","Sambucus nigra"
"34","Stellaria media"
"35","Urtica dioica"
"36","Veronica montana"
"37","Betula seedling/sp"
"38","Quercus seedling/sp"
"39","Sorbus sp."
"40","Dryopteris dilatata/carthusiana"
"41","Viola riviniana/reichenbiana"
"42","Acer campestre"
"43","Arum maculatum"
"44","Galium odoratum"
"45","Cirsium arvense"
"46","Epilobium montanum"
"47","Geranium robertianum"
"48","Ilex aquifolium"
"49","Primula vulgaris"
"50","Ribes uva-crispa"
"51","Sanicula europaea"
"52","Castanea sativa"
"53","Arctium agg."
"54","Agrostis capillaris"
"55","Deschampsia flexuosa"
"56","Fagus sylvatica"
"57","Pteridium aquilinum"
"58","Luzula pilosa"
"59","Moehringia trinervia"
"60","Prunus avium"
"61","Prunus spinosa"
"62","Salix caprea"
"63","Solanum dulcamara"
"64","Sorbus aucuparia"
"65","Taxus baccata"
"66","Larix sp."
"67","Ceratocapnos claviculata"
"68","Holcus mollis"
"69","Oxalis acetosella"
"70","Stachys sylvatica"
"71","Carpinus betulus"
"72","Convolvulus arvensis"
"73","Ranunculus repens"
"74","Anthoxanthum odoratum"
"75","Euphorbia amygdaloides"
"76","Galium palustre"
"77","Persicaria hydropiper"
"78","Potentilla sterilis"
"79","Scrophularia nodosa"
"80","Viburnum opulus"
"81","Impatiens sp."
"82","Alnus glutinosa"
"83","Ribes rubrum"
"84","Hedera helix"
"85","Impatiens parviflora"
"86","Juncus bufonius sens.lat."
"87","Mycelis muralis"
"88","Tamus communis"
"89","Blechnum spicant"
"90","Galium saxatile"
"91","Rhododendron ponticum"
"92","Vaccinium myrtillus"
"93","Agrostis stolonifera"
"94","Arrhenatherum elatius"
"95","Bromopsis ramosa"
"96","Malus sylvestris"
"97","Poa annua"
