"","SD_code","Description","Code_group","Score"
"1",8,"Cop. stool","",NA
"2",9,"Singled cop.","",NA
"3",10,"Rec.cut cop.","wm",NA
"4",12,"Stump hard.new","wm",NA
"5",13,"Stump hard.old","",NA
"6",14,"Stump con.new","wm",NA
"7",15,"Stump con.old","",NA
"8",16,"Stump ovgwn.","",NA
"9",17,"Brash/pruning","",NA
"10",18,"Brash heaps","",NA
"11",24,"Fire sites","wm",NA
"12",54,"Log.v rotten","",NA
"13",55,"Fall bnb.>10cm","",NA
"14",56,"Hollow trees","",NA
"15",57,"Rot holes","",NA
"16",58,"Stump <10cm","",NA
"17",59,"Stump >10cm","",NA
"18",61,"Bryo.base","",NA
"19",62,"Bryo.trunk","",NA
"20",63,"Bryo.branch","",NA
"21",64,"Lichen trunk","",NA
"22",65,"Lichen branch","",NA
"23",86,"Pond 1-20m2","",NA
"24",87,"Pond/lake>20m2","",NA
"25",88,"Strm.slow <1m","",NA
"26",89,"Strm.fast <1m","",NA
"27",90,"Riv.slow 1-5m","",NA
"28",91,"Riv.fast 1-5m","",NA
"29",92,"Riv.slow >5m","",NA
"30",93,"Riv.fast >5m","",NA
"31",105,"Gld.5-12m grs","o",1
"32",106,"Gld.>12m grs","o",5
"33",107,"Gld.3-12m mxd.","o",1
"34",108,"""Gld.>12","o",5
"35",109,"Gld.5-12m bgy","o",1
"36",110,"Gld.>12m bgy","o",5
"37",111,"Rky.knoll <12m","o",1
"38",112,"Rky.knoll >12m","o",5
"39",113,"Field","o",5
"40",114,"Path 1-5m","o",1
"41",115,"Ride >5m","o",5
"42",116,"Track non-prep.","o",1
"43",150,"Moss bank","",NA
"44",151,"Fern bank","",NA
"45",152,"Grass bank","",NA
"46",153,"Leaf drift","",NA
"47",157,"Macrofungi soil","",NA
"48",158,"Macrofungi wood","",NA
"49",208,"Rough grazing","l",NA
"50",209,"Heath/moorland","l",NA
"51",210,"Marsh/fen/bog","l",NA
"52",211,"River","l",NA
"53",212,"Lake","l",NA
